,OTU38,OTU39,OTU36,OTU37,OTU34,OTU35,OTU32,OTU33,OTU30,OTU31,OTU128,OTU127,OTU126,OTU125,OTU124,OTU123,OTU122,OTU121,OTU120,OTU83,OTU82,OTU81,OTU80,OTU87,OTU86,OTU85,OTU84,OTU89,OTU88,OTU14,OTU15,OTU16,OTU17,OTU10,OTU11,OTU12,OTU13,OTU18,OTU19,OTU98,OTU99,OTU94,OTU95,OTU96,OTU97,OTU90,OTU91,OTU92,OTU93,OTU61,OTU60,OTU63,OTU62,OTU65,OTU64,OTU67,OTU66,OTU69,OTU68,OTU72,OTU73,OTU70,OTU71,OTU76,OTU77,OTU74,OTU75,OTU78,OTU79,OTU8,OTU9,OTU6,OTU7,OTU4,OTU5,OTU2,OTU3,OTU1,OTU49,OTU48,OTU47,OTU46,OTU45,OTU44,OTU43,OTU42,OTU41,OTU40,OTU116,OTU117,OTU114,OTU115,OTU112,OTU113,OTU110,OTU111,OTU118,OTU119,OTU58,OTU59,OTU50,OTU51,OTU52,OTU53,OTU54,OTU55,OTU56,OTU57,OTU105,OTU104,OTU107,OTU106,OTU101,OTU100,OTU103,OTU102,OTU109,OTU108,OTU29,OTU28,OTU25,OTU24,OTU27,OTU26,OTU21,OTU20,OTU23,OTU22
Dark1,2,0,22,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,1,0,1,17,1,0,2,0,48,0,1,0,15,0,0,0,162,99,1,0,0,0,0,0,0,1,4,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,304,4,1117,2476,901,699,5598,2575,30266,0,12,16,8,11,1,0,8,0,9,0,5,0,0,0,472,13,1,189,0,1,1,0,1,0,13,17,0,1,0,0,0,4,0,0,1,0,0,0,0,0,0,120,42,1,17,10,0,0,0
Dark2,15,0,11,16,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,2,3,0,0,30,0,0,0,0,65,0,0,0,17,0,0,0,175,84,0,1,0,0,0,0,0,0,18,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,263,8,818,2408,906,1010,4256,2524,31778,0,8,23,20,21,0,0,6,0,8,1,22,0,0,0,366,11,2,156,1,3,0,0,0,0,17,10,0,0,0,1,0,21,0,0,2,0,0,3,0,0,0,113,55,0,13,6,0,0,0
Dark3,11,0,27,11,0,2,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,11,0,2,2,0,0,10,0,0,2,0,43,0,0,0,14,0,0,0,152,141,0,0,0,0,0,0,0,1,10,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,284,4,893,2358,926,1093,4579,2185,31626,0,9,13,9,9,0,0,6,0,12,4,15,0,0,0,444,6,4,138,0,1,1,0,3,0,16,7,0,0,1,4,0,20,0,0,0,0,0,2,0,0,0,146,34,0,19,7,0,0,0
Blue1,0,0,18,9,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,17,0,0,0,0,19,0,0,1,20,0,0,0,133,115,1,0,0,1,0,0,0,5,7,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,219,4,1520,928,934,593,5066,5350,29463,0,5,14,8,4,0,0,14,0,11,0,14,0,0,0,477,8,0,169,0,0,2,0,3,0,16,11,0,0,1,0,0,12,0,0,0,0,0,3,0,0,0,34,43,0,24,15,0,0,0
Blue2,0,0,24,9,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,2,2,0,0,17,0,0,0,0,9,0,0,0,11,0,0,0,105,103,0,0,0,2,0,0,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,256,5,1205,333,820,563,4532,5922,30613,0,2,17,7,10,1,0,4,0,17,0,9,0,0,0,376,9,0,170,0,0,3,0,0,0,11,13,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,50,50,0,9,3,0,0,0
Blue3,1,0,14,3,0,2,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,0,9,1,0,0,0,36,0,0,0,14,1,0,0,153,103,1,0,0,0,0,1,0,2,3,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,239,1,895,749,656,665,3364,3164,34601,0,1,5,4,7,0,0,3,0,9,0,4,0,0,0,290,3,1,172,0,0,1,0,0,0,13,2,0,0,0,2,0,14,0,0,0,0,0,0,0,0,0,41,31,0,12,12,0,0,0
Green1,6,1,33,9,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,0,5,3,0,1,27,0,0,1,0,31,0,0,0,25,0,0,0,165,136,1,0,0,0,0,0,0,14,10,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,269,4,1721,2313,949,944,5257,3301,29036,0,11,11,14,10,1,0,7,0,26,0,25,0,0,0,483,3,2,165,0,1,1,0,5,0,16,7,0,0,1,1,0,31,0,0,0,0,0,2,0,0,0,150,44,0,19,6,0,0,0
Green2,11,0,52,14,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,4,2,0,0,32,0,0,0,1,55,0,0,0,28,0,0,0,189,120,0,0,0,0,0,0,0,6,9,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,463,9,1828,3194,915,1071,5928,3974,26403,0,7,11,16,7,0,0,7,0,13,0,14,0,0,0,472,7,4,161,0,0,1,0,5,0,26,3,0,0,1,1,0,34,0,0,0,0,0,1,0,0,0,121,45,0,31,10,0,0,0
Green3,8,1,49,15,0,2,0,0,4,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,12,0,6,3,0,0,45,1,0,1,0,64,0,0,0,24,1,0,0,128,118,0,0,0,0,0,0,0,6,5,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,465,7,2584,3031,1052,1202,6619,4288,24458,0,7,19,14,8,1,1,12,0,25,0,23,0,0,0,464,4,0,154,0,4,4,0,9,1,15,8,0,0,1,2,0,40,0,0,0,0,0,2,0,1,0,168,72,1,42,17,0,0,0
Yellow1,25,0,34,20,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,4,0,0,26,1,0,0,0,59,0,0,0,33,1,0,0,156,148,0,3,0,0,0,1,0,5,9,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,285,2,1986,3308,751,897,6708,2267,27424,0,9,32,21,11,1,1,8,0,13,1,18,0,0,0,569,3,3,192,0,3,2,0,5,0,16,11,0,0,3,1,0,24,0,0,1,0,0,1,0,0,0,123,41,0,25,7,0,0,0
Yellow2,46,1,40,16,0,7,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,4,0,0,20,0,0,1,1,55,0,0,0,33,0,0,0,122,130,0,0,0,0,0,0,0,2,10,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,343,9,1625,3822,544,973,7293,2812,26258,0,7,30,24,6,0,0,6,1,9,0,22,0,0,0,561,11,0,171,0,2,2,0,5,0,21,10,0,2,2,2,0,21,0,0,0,0,0,1,0,0,0,143,42,0,24,10,0,0,0
Yellow3,34,0,29,10,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,3,4,0,0,32,1,0,0,0,60,0,0,0,31,0,0,0,174,150,0,0,0,0,0,1,0,9,6,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,346,13,1481,3402,649,1170,6497,2286,27839,0,7,25,26,7,0,0,6,0,13,0,4,0,0,0,554,2,4,166,0,5,0,0,4,0,15,6,0,0,1,4,0,29,0,0,3,0,0,0,0,0,0,109,42,0,25,9,0,0,0
Red1,16,0,22,8,0,2,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,8,2,0,1,15,1,0,0,0,37,0,0,0,19,2,0,0,185,125,0,0,0,0,0,1,0,7,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,202,9,970,2776,777,1038,4782,2109,31225,0,10,22,14,8,1,0,7,0,12,2,9,0,2,0,534,0,1,138,0,0,0,0,2,0,22,6,0,0,0,0,0,14,0,0,0,0,0,2,0,0,0,73,55,0,17,5,0,0,0
Red2,35,0,28,14,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,7,2,0,0,33,1,0,1,1,28,0,0,0,23,0,0,0,182,168,3,0,0,0,0,0,0,5,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,271,11,1665,2647,724,1092,4494,3333,29640,0,10,21,25,9,0,0,1,0,11,0,18,0,0,0,409,6,3,128,0,1,2,0,5,0,14,3,0,0,1,1,0,33,0,0,0,0,0,0,0,0,0,113,54,0,19,6,0,0,0
Red3,30,0,13,16,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,0,16,0,0,0,0,33,0,0,1,13,2,0,0,180,127,1,0,0,0,0,0,0,4,8,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,217,9,943,2390,678,796,4455,2688,31748,0,5,20,15,13,0,0,7,0,5,1,11,0,0,0,454,9,2,163,0,0,3,0,2,0,19,12,0,0,1,2,0,19,0,0,2,0,0,0,0,0,0,88,60,0,13,6,1,0,0
UV1,8,31,78,33,39,43,66,41,16,46,0,0,3,1,1,2,4,1,2,2,3,4,7,2,7,3,0,0,2,323,268,214,174,1177,547,244,520,267,230,4,8,1,4,0,1,0,0,2,1,11,5,7,1,1,9,7,7,2,7,18,7,6,6,2,4,1,5,5,1,2800,1965,3754,811,9919,1247,8382,4661,5427,12,9,2,7,4,16,11,45,21,16,0,1,0,0,0,147,0,0,496,1,7,5,0,13,13,95,8,7,3,12,1,2,6,1,2,0,1,2,1,1,54,72,152,79,76,67,85,96,83,86
UV2,31,13,75,32,10,15,35,7,27,20,0,0,0,1,0,0,2,2,0,1,5,0,0,0,20,0,1,0,0,122,194,67,3,483,337,501,56,51,94,25,5,0,0,8,12,0,2,0,0,0,1,2,8,4,2,4,2,3,2,3,0,5,0,5,0,3,5,5,3,2689,565,5740,895,3369,4702,11703,6227,5622,6,17,1,8,19,6,9,45,2,31,1,13,0,1,1,141,0,1,212,0,8,13,1,9,9,270,3,3,8,6,0,0,76,0,1,1,0,1,2,0,19,0,167,120,26,78,90,27,22,26
UV3,13,13,52,24,24,36,40,16,62,30,2,4,0,0,0,2,1,0,0,0,0,0,1,0,7,0,1,5,0,197,150,111,2,625,405,233,64,109,131,7,2,0,2,2,0,0,2,1,0,0,3,3,1,2,2,7,6,2,3,9,0,9,0,6,1,6,1,1,3,2144,989,2340,535,5145,1158,19854,4028,5275,4,1,1,7,10,5,17,50,3,13,0,3,2,0,1,210,0,0,348,1,9,4,14,12,3,113,0,14,1,12,0,0,7,0,0,0,0,4,0,1,33,1,196,67,34,32,60,48,43,33
